Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10,trial_pres_id,probe_onset,probe_durat,fixa1_onset,fixa1_durat,target_onset,target_durat,target_offset,fixa2_onset,fixa2_durat,RT,KeyPress,runid
47,dart,clover,0.1102983,4.3,5.75,0.72,0.83,33,293.9968879,1.5,295.4906049,1.5,296.9843299,1.5,297.8553078,299.9801319,3,0.870977879,2,3
59,mop,skin,0.135836061,4.08,90.34,0.71,1.96,34,303.0009789,1.5,304.494688,1.5,305.988178,1.5,306.7300839,308.9842238,3,0.741905928,2,3
7,dove,trainer,3.93E-05,2.96,3.41,0.6,0.64,35,311.9967189,1.5,313.4904358,1.5,314.9839449,1.5,316.0108559,317.9799559,3,1.02691102,2,3
23,wool,album,0.058879896,21.45,5.64,1.35,0.82,36,321.000526,1.5,322.4945209,1.5,323.9881918,1.5,326.522584,326.983994,3,2.534392118,2,3
135,debt,sovereign,0.32751825,25.31,5.03,1.42,0.78,37,329.996531,1.5,331.490253,1.5,332.9837649,1.5,334.0474129,335.9797709,3,1.063647985,2,3
175,seaweed,crab,0.487856247,4.86,5.42,0.77,0.81,38,339.0004399,1.5,340.494138,1.5,341.9880579,1.5,342.6171958,344.9838638,3,0.629137993,1,3
51,plaster,library,0.119601479,11.9,52.63,1.11,1.73,39,347.9963579,1.5,349.4900498,1.5,350.9835849,1.5,352.1319549,353.979589,3,1.148370028,2,3
183,apple,orchard,0.537910033,17.6,5.31,1.27,0.8,40,357.0003059,1.5,358.493958,1.5,359.987875,1.5,360.6747448,362.983674,3,0.68686986,2,3
71,boot,trail,0.152089346,9.72,17.04,1.03,1.26,41,365.9961848,1.5,367.489892,1.5,368.9836009,1.5,370.389509,371.9794168,3,1.405908108,1,3
67,tape,book,0.150898776,28.38,275.47,1.47,2.44,42,375.000248,1.5,376.493968,1.5,377.9874868,1.5,379.083288,380.9834549,3,1.095801115,2,3
91,flat,staircase,0.204364528,110.06,12.4,2.05,1.13,43,383.995996,1.5,385.489711,1.5,386.9832199,1.5,388.3940549,389.979039,3,1.410835028,2,3
187,soup,cabbage,0.549878215,20.22,8.04,1.33,0.96,44,393.0000629,1.5,394.4937871,1.5,395.987314,1.5,397.1118438,398.9831209,3,1.124529839,1,3
